Time, Current Power, Average Power, Peak Power
2022/11/10 12:55:09,312,311,330
2022/11/10 13:05:09,336,318,372
2022/11/10 13:15:09,324,325,360
2022/11/10 13:25:10,318,321,348
2022/11/10 13:35:10,318,318,348
2022/11/10 13:45:10,312,321,348
2022/11/10 13:55:10,324,319,342
2022/11/10 14:05:10,336,320,366
2022/11/10 14:15:10,324,326,372
2022/11/10 14:25:10,324,322,348
2022/11/10 14:35:11,336,318,348
2022/11/10 14:45:11,330,327,360
2022/11/10 14:55:11,336,328,354
2022/11/10 15:05:11,330,322,366
2022/11/10 15:15:11,330,331,372
2022/11/10 15:25:11,324,325,354
2022/11/10 15:35:11,330,327,354
2022/11/10 15:45:11,318,323,354
2022/11/10 15:55:11,318,324,342
2022/11/10 16:05:12,312,320,384
2022/11/10 16:15:12,324,327,378
2022/11/10 16:25:12,318,326,360
2022/11/10 16:35:12,324,320,342
2022/11/10 16:45:12,324,325,354
2022/11/10 16:55:12,312,319,348
2022/11/10 17:05:13,318,319,348
2022/11/10 17:15:13,318,318,360
2022/11/10 17:25:13,318,313,336
2022/11/10 17:35:14,306,307,324
2022/11/10 17:45:14,294,302,330
2022/11/10 17:55:14,294,296,318
2022/11/10 18:05:14,282,292,318
2022/11/10 18:15:14,276,290,342
2022/11/10 18:25:14,282,285,306
2022/11/10 18:35:14,288,283,306
2022/11/10 18:45:14,276,284,306
2022/11/10 18:55:14,276,283,300
2022/11/10 19:05:14,282,287,354
2022/11/10 19:15:14,282,287,330
2022/11/10 19:25:14,276,283,306
2022/11/10 19:35:14,276,282,306
2022/11/10 19:45:15,276,284,300
2022/11/10 19:55:15,288,283,300
2022/11/10 20:05:15,282,284,306
2022/11/10 20:15:15,276,289,342
2022/11/10 20:25:16,276,283,312
2022/11/10 20:35:16,288,282,300
2022/11/10 20:45:16,276,284,306
2022/11/10 20:55:16,282,283,300
2022/11/10 21:05:16,282,284,312
2022/11/10 21:15:16,264,286,330
2022/11/10 21:25:16,276,283,300
2022/11/10 21:35:16,276,282,300
2022/11/10 21:45:16,288,284,306
2022/11/10 21:55:16,294,286,312
2022/11/10 22:05:16,294,293,318
2022/11/10 22:15:16,288,287,330
2022/11/10 22:25:16,282,283,300
2022/11/10 22:35:16,294,294,324
2022/11/10 22:45:16,288,286,306
2022/11/10 22:55:16,294,283,312
2022/11/10 23:05:16,282,284,318
2022/11/10 23:15:16,288,288,324
2022/11/10 23:25:16,282,284,300
2022/11/10 23:35:16,294,282,300
2022/11/10 23:45:16,282,283,306
2022/11/10 23:55:16,282,283,294
2022/11/11 00:05:16,288,285,312
2022/11/11 00:15:16,288,293,330
2022/11/11 00:25:16,288,285,306
2022/11/11 00:35:16,294,285,300
2022/11/11 00:45:16,288,285,306
2022/11/11 00:55:16,300,298,324
2022/11/11 01:05:17,330,315,390
2022/11/11 01:15:17,312,318,354
2022/11/11 01:25:17,330,318,360
2022/11/11 01:35:17,330,324,360
2022/11/11 01:45:17,342,329,354
2022/11/11 01:55:17,342,338,360
2022/11/11 02:05:17,318,342,366
2022/11/11 02:15:17,318,327,366
2022/11/11 02:25:17,330,318,336
2022/11/11 02:35:17,300,316,336
2022/11/11 02:45:17,312,304,318
2022/11/11 02:55:17,300,303,324
2022/11/11 03:05:17,282,296,318
2022/11/11 03:15:17,288,295,336
2022/11/11 03:25:17,282,289,318
2022/11/11 03:35:17,294,286,312
2022/11/11 03:45:17,294,288,306
2022/11/11 03:55:17,288,288,306
2022/11/11 04:05:17,294,291,408
2022/11/11 04:15:17,282,293,336
2022/11/11 04:25:17,294,289,318
2022/11/11 04:35:18,288,288,306
2022/11/11 04:45:18,282,288,318
2022/11/11 04:55:18,288,287,306
2022/11/11 05:05:18,288,288,342
2022/11/11 05:15:18,288,293,336
2022/11/11 05:25:18,288,288,324
2022/11/11 05:35:18,288,290,318
2022/11/11 05:45:18,282,286,318
2022/11/11 05:55:18,294,284,306
2022/11/11 06:05:18,294,290,318
2022/11/11 06:15:18,282,288,330
2022/11/11 06:25:18,294,288,312
2022/11/11 06:35:18,288,288,306
2022/11/11 06:45:18,288,296,336
2022/11/11 06:55:18,300,297,324
2022/11/11 07:05:18,312,310,354
2022/11/11 07:15:18,324,311,366
2022/11/11 07:25:19,312,314,342
2022/11/11 07:35:19,324,319,342
2022/11/11 07:45:19,318,311,342
2022/11/11 07:55:19,306,308,330
2022/11/11 08:05:20,336,318,366
2022/11/11 08:15:20,324,321,354
2022/11/11 08:25:20,306,318,342
2022/11/11 08:35:20,336,319,348
2022/11/11 08:45:20,318,317,342
2022/11/11 08:55:20,324,317,348
2022/11/11 09:05:20,318,322,372
2022/11/11 09:15:20,318,325,372
2022/11/11 09:25:20,330,320,342
2022/11/11 09:35:20,348,320,348
2022/11/11 09:45:20,324,324,360
2022/11/11 09:55:20,318,322,348
2022/11/11 10:05:20,330,324,384
2022/11/11 10:15:20,336,325,378
2022/11/11 10:25:20,324,326,348
2022/11/11 10:35:20,312,325,348
2022/11/11 10:45:20,324,318,342
2022/11/11 10:55:21,318,317,336
