sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x1        | Inlet Temp       | 23.000     | degrees C    | ok     | na         | na         | na         | 46.000   | 48.000     | na         | 2.000  | 2.000 
0x2        | Outlet Temp      | 38.000     | degrees C    | ok     | na         | na         | na         | 75.000   | na         | na         | 2.000  | 2.000 
0x3        | PCH Temp         | 66.000     | degrees C    | ok     | na         | na         | na         | 86.000   | na         | na         | 2.000  | 2.000 
0x4        | CPU1 Core Rem    | 51.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 2.000  | 2.000 
0x5        | CPU2 Core Rem    | 48.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 2.000  | 2.000 
0x6        | CPU1 DTS         | -47.000    | unspecified  | ok     | na         | na         | na         | -1.000   | na         | na         | 2.000  | 2.000 
0x7        | CPU2 DTS         | -51.000    | unspecified  | ok     | na         | na         | na         | -1.000   | na         | na         | 2.000  | 2.000 
0x9        | Cpu1 Margin      | -37.000    | unspecified  | ok     | na         | na         | na         | na       | na         | na         | 2.000  | 2.000 
0xa        | Cpu2 Margin      | -41.000    | unspecified  | ok     | na         | na         | na         | na       | na         | na         | 2.000  | 2.000 
0xe        | CPU1 MEM Temp    | 38.000     | degrees C    | ok     | na         | na         | na         | 95.000   | na         | na         | 2.000  | 2.000 
0xf        | CPU2 MEM Temp    | 38.000     | degrees C    | ok     | na         | na         | na         | 95.000   | na         | na         | 2.000  | 2.000 
0xb        | SYS 3.3V         | 3.300      | Volts        | ok     | na         | 2.960      | na         | na       | 3.620      | na         | 0.160  | 0.160 
0xc        | SYS 5V           | 5.190      | Volts        | ok     | na         | 4.500      | na         | na       | 5.490      | na         | 0.240  | 0.240 
0x12       | SYS 12V_1        | 12.060     | Volts        | ok     | na         | 10.800     | na         | na       | 13.200     | na         | 0.480  | 0.480 
0xd        | SYS 12V_2        | 12.120     | Volts        | ok     | na         | 10.800     | na         | na       | 13.200     | na         | 0.480  | 0.480 
0x10       | CPU1 DDR VPP1    | 2.580      | Volts        | ok     | na         | 2.240      | na         | na       | 2.740      | na         | 0.160  | 0.160 
0x11       | CPU1 DDR VPP2    | 2.560      | Volts        | ok     | na         | 2.240      | na         | na       | 2.740      | na         | 0.160  | 0.160 
0x13       | CPU2 DDR VPP1    | 2.560      | Volts        | ok     | na         | 2.240      | na         | na       | 2.740      | na         | 0.160  | 0.160 
0x14       | CPU2 DDR VPP2    | 2.560      | Volts        | ok     | na         | 2.240      | na         | na       | 2.740      | na         | 0.160  | 0.160 
0x19       | FAN1 Speed       | 3960.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x1b       | FAN2 Speed       | 3960.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x1d       | FAN3 Speed       | 3960.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x1f       | FAN4 Speed       | 3960.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x25       | Power            | 288.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x15       | Disks Temp       | 28.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x16       | HDD MAX Temp     | na         | degrees C    | na     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x17       | SSD MAX Temp     | 28.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x18       | CPU Power        | 128.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x23       | MEM Power        | 38.000     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x24       | FAN Power        | 11.000     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x26       | RAID Temp        | 60.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0x21       | Power1           | 138.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x27       | PS1 VIN          | 228.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x28       | PS1 IIn          | 0.600      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x29       | PS1 IOut         | 9.720      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x2a       | PS1 POut         | 119.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x2b       | PS1 Temp         | 51.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x2c       | PS1 Inlet Temp   | 32.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x22       | Power2           | 150.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x2d       | PS2 VIN          | 228.000    | Volts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x2e       | PS2 IIn          | 0.600      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x2f       | PS2 IOut         | 10.800     | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x30       | PS2 POut         | 133.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x31       | PS2 Temp         | 48.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x32       | PS2 Inlet Temp   | 26.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x33       | CPU1 VCore       | 1.760      | Volts        | ok     | na         | 1.230      | na         | na       | 2.040      | na         | 0.020  | 0.020 
0x34       | CPU2 VCore       | 1.770      | Volts        | ok     | na         | 1.230      | na         | na       | 2.040      | na         | 0.020  | 0.020 
0x35       | CPU1 DDR VDDQ    | 1.220      | Volts        | ok     | na         | 1.140      | na         | na       | 1.260      | na         | 0.020  | 0.020 
0x36       | CPU1 DDR VDDQ2   | 1.220      | Volts        | ok     | na         | 1.140      | na         | na       | 1.260      | na         | 0.020  | 0.020 
0x37       | CPU2 DDR VDDQ    | 1.220      | Volts        | ok     | na         | 1.140      | na         | na       | 1.260      | na         | 0.020  | 0.020 
